Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
Open Weight Bout,False,False, 2, Decision - Unanimous,, Scott Ferrozzo, David Abbott, David Abbott, Scott Ferrozzo,0,0,1,0,0,0,0,50,21,42,49,20,41.0,1,1,100.0,0,0,0,39,15,39.0,11,6,55.0,0,0,0,0,0,1,0,0,0,0,94,60,63,48,17,36.0,37,34,92.0,9,9,100.0,43,17,40.0,51,43,85.0,0,0,0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Half Guard Submission to Strikes, Mark Coleman, Brian Johnston, Brian Johnston, Mark Coleman,0,0,0,0,0,0,0,5,3,60,2,0,0.0,0,0,0,3,3,100.0,5,3,60.0,0,0,0,0,0,0,0,1,1,100,0,1,0,10,9,90,10,9,90.0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,90.0
Open Weight Bout,False,False, 1, Decision - Unanimous,, Jerry Bohlander, Fabio Gurgel, Fabio Gurgel, Jerry Bohlander,0,1,3,33,1,1,0,3,2,66,2,1,50.0,1,1,100.0,0,0,0,2,1,50.0,1,1,100.0,0,0,0,0,1,1,100,0,0,1,21,18,85,11,9,82.0,5,5,100.0,5,4,80.0,2,1,50.0,5,5,100.0,14,12,86.0
Open Weight Bout,False,False, 1, Submission, Forearm Choke From Half Guard, David Abbott, Sam Adkins, Sam Adkins, David Abbott,0,0,0,0,0,0,0,2,0,0,2,0,0.0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,1,1,100,1,1,0,9,8,88,6,5,84.0,3,3,100.0,0,0,0,0,0,0,0,0,0,9,8,89.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Mount, Brian Johnston, Reza Nasri, Reza Nasri, Brian Johnston,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,2,0,8,6,75,7,5,72.0,1,1,100.0,0,0,0,0,0,0,2,1,50.0,6,5,84.0
Open Weight Bout,False,False, 1, Submission, Neck Crank From Side Control, Mark Coleman, Julian Sanchez, Julian Sanchez, Mark Coleman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,2,0,0,7,7,100,7,7,100.0,0,0,0,0,0,0,1,1,100.0,0,0,0,6,6,100.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Back Control Submission to Strikes, Roberto Traven, Dave Berry, Dave Berry, Roberto Traven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Weight Bout,False,False, 1, Submission, Injury, Scott Ferrozzo, Sam Fulton, Sam Fulton, Scott Ferrozzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 10 Tournament Title Bout,False,False, 1, KO/TKO, Headbutts to Head From Side Control, Mark Coleman, Don Frye, Don Frye, Mark Coleman,0,0,2,0,0,0,1,6,1,16,6,1,17.0,0,0,0,0,0,0,6,1,17.0,0,0,0,0,0,0,0,3,5,60,2,6,0,60,34,56,56,30,54.0,4,4,100.0,0,0,0,4,2,50.0,5,4,80.0,51,28,55.0
Open Weight Bout,False,False, 1, Submission,, Mark Coleman, Gary Goodridge, Gary Goodridge, Mark Coleman,0,0,0,0,0,0,0,7,3,42,4,1,25.0,2,1,50.0,1,1,100.0,3,0,0.0,4,3,75.0,0,0,0,0,2,2,100,0,2,0,48,33,68,48,33,69.0,0,0,0,0,0,0,3,2,67.0,26,19,74.0,19,12,64.0
Open Weight Bout,False,False, 1, KO/TKO, Elbows to Head From Side Control Submission to Strikes, Don Frye, Brian Johnston, Brian Johnston, Don Frye,0,0,0,0,0,1,0,22,11,50,13,5,39.0,6,4,67.0,3,2,67.0,6,0,0.0,16,11,69.0,0,0,0,0,1,1,100,0,2,0,16,11,68,9,4,45.0,7,7,100.0,0,0,0,4,1,25.0,7,5,72.0,5,5,100.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Mount, Gary Goodridge, John Campetella, John Campetella, Gary Goodridge,0,0,1,0,0,0,0,7,5,71,4,3,75.0,2,1,50.0,1,1,100.0,0,0,0,7,5,72.0,0,0,0,0,0,0,0,0,1,1,6,5,83,6,5,84.0,0,0,0,0,0,0,3,2,67.0,0,0,0,3,3,100.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Half Guard, Mark Coleman, Moti Horenstein, Moti Horenstein, Mark Coleman,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,2,50,0,1,0,30,25,83,25,20,80.0,5,5,100.0,0,0,0,0,0,0,0,0,0,30,25,84.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Back Control, Brian Johnston, Scott Fiedler, Scott Fiedler, Brian Johnston,0,0,0,0,0,1,0,4,3,75,3,2,67.0,0,0,0,1,1,100.0,1,1,100.0,0,0,0,3,2,67.0,0,1,2,50,1,2,1,5,2,40,5,2,40.0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40.0
Open Weight Bout,False,False, 1, KO/TKO, Headbutt to Head From Guard, Don Frye, Mark Hall, Mark Hall, Don Frye,0,0,0,0,0,0,0,2,2,100,1,1,100.0,1,1,100.0,0,0,0,1,1,100.0,1,1,100.0,0,0,0,0,1,1,100,0,2,0,28,27,96,8,8,100.0,20,19,95.0,0,0,0,0,0,0,0,0,0,28,27,97.0
Open Weight Bout,False,False, 2, Decision - Unanimous,, Sam Adkins, Felix Lee Mitchell, Felix Lee Mitchell, Sam Adkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head At Distance, Geza Kalman, Dieusel Berto, Dieusel Berto, Geza Kalman,0,0,1,0,0,1,0,5,3,60,5,3,60.0,0,0,0,0,0,0,1,0,0.0,4,3,75.0,0,0,0,0,0,2,0,1,1,1,36,21,58,23,9,40.0,8,7,88.0,5,5,100.0,11,0,0.0,22,18,82.0,3,3,100.0
UFC Superfight Championship Bout,False,False, 3, Decision - Split,, Dan Severn, Ken Shamrock, Ken Shamrock, Dan Severn,0,0,1,0,0,1,0,81,18,22,71,9,13.0,10,9,90.0,0,0,0,71,8,12.0,1,1,100.0,9,9,100.0,0,0,2,0,0,0,1,75,16,21,70,13,19.0,0,0,0,5,3,60.0,62,9,15.0,4,1,25.0,9,6,67.0
Open Weight Bout,False,False, 1, KO/TKO, Knees to Head From Front Headlock, Don Frye, Amaury Bitetti, Amaury Bitetti, Don Frye,0,0,6,0,0,0,0,5,2,40,4,1,25.0,0,0,0,1,1,100.0,2,2,100.0,3,0,0.0,0,0,0,0,1,1,100,0,2,0,59,46,77,39,27,70.0,20,19,95.0,0,0,0,5,1,20.0,16,11,69.0,38,34,90.0
Open Weight Bout,False,False, 1, TKO - Doctor's Stoppage, Nose Injury, Mark Hall, Koji Kitao, Koji Kitao, Mark Hall,0,1,1,100,0,1,0,2,1,50,2,1,50.0,0,0,0,0,0,0,1,0,0.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,3,3,100,2,2,100.0,0,0,0,1,1,100.0,2,2,100.0,0,0,0,1,1,100.0
Open Weight Bout,False,False, 1, TKO - Doctor's Stoppage, Facial Cut, Mark Schultz, Gary Goodridge, Gary Goodridge, Mark Schultz,0,0,0,0,0,0,0,4,1,25,3,0,0.0,0,0,0,1,1,100.0,4,1,25.0,0,0,0,0,0,0,0,3,3,100,0,5,0,29,8,27,27,7,26.0,1,1,100.0,1,0,0.0,2,1,50.0,0,0,0,27,7,26.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Mount, Rafael Carino, Matt Andersen, Matt Andersen, Rafael Carino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,3,0,17,8,47,17,8,48.0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,48.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Half Guard Submission to Strikes, Cal Worsham, Zane Frazier, Zane Frazier, Cal Worsham,0,0,0,0,0,0,0,2,1,50,1,0,0.0,1,1,100.0,0,0,0,2,1,50.0,0,0,0,0,0,0,0,1,1,100,0,1,0,11,9,81,6,6,100.0,2,2,100.0,3,1,34.0,3,1,34.0,0,0,0,8,8,100.0
Open Weight Bout,False,False, 1, TKO - Doctor's Stoppage, Facial Cuts, Steve Nelmark, Tai Bowden, Tai Bowden, Steve Nelmark,0,0,0,0,0,0,0,4,4,100,2,2,100.0,0,0,0,2,2,100.0,2,2,100.0,2,2,100.0,0,0,0,0,2,2,100,1,4,0,16,13,81,15,12,80.0,1,1,100.0,0,0,0,2,1,50.0,1,1,100.0,13,11,85.0
UFC 8 Tournament Title Bout,False,False, 1, KO/TKO, Punches to Head From Half Guard Submission to Strikes, Don Frye, Gary Goodridge, Gary Goodridge, Don Frye,0,1,3,33,0,0,0,6,2,33,4,1,25.0,2,1,50.0,0,0,0,3,0,0.0,3,2,67.0,0,0,0,0,0,0,0,0,1,1,21,12,57,18,9,50.0,0,0,0,3,3,100.0,6,2,34.0,11,7,64.0,4,3,75.0
UFC Superfight Championship Bout,False,False, 1, Submission, Kneebar From Bottom Guard, Ken Shamrock, Kimo Leopoldo, Kimo Leopoldo, Ken Shamrock,0,0,0,0,0,1,1,5,4,80,4,3,75.0,1,1,100.0,0,0,0,1,1,100.0,0,0,0,4,3,75.0,0,1,1,100,2,2,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Open Weight Bout,False,False, 1, KO/TKO, Punch to Head On Ground, Gary Goodridge, Jerry Bohlander, Jerry Bohlander, Gary Goodridge,0,0,1,0,0,2,1,8,1,12,8,1,13.0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,13.0,0,1,1,100,1,1,1,6,3,50,6,3,50.0,0,0,0,0,0,0,1,0,0.0,0,0,0,5,3,60.0
Open Weight Bout,False,False, 1, TKO - Doctor's Stoppage, Facial Cut, Don Frye, Sam Adkins, Sam Adkins, Don Frye,0,0,0,0,0,0,0,3,0,0,3,0,0.0,0,0,0,0,0,0,3,0,0.0,0,0,0,0,0,0,0,1,1,100,0,1,0,9,5,55,9,5,56.0,0,0,0,0,0,0,3,0,0.0,0,0,0,6,5,84.0
Open Weight Bout,False,False, 1, KO/TKO, Elbows to Head From Crucifix, Gary Goodridge, Paul Herrera, Paul Herrera, Gary Goodridge,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,8,8,100,8,8,100.0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100.0
Open Weight Bout,False,False, 1, Submission, Guillotine Choke Standing, Jerry Bohlander, Scott Ferrozzo, Scott Ferrozzo, Jerry Bohlander,0,2,4,50,1,0,0,12,9,75,8,6,75.0,2,2,100.0,2,1,50.0,2,1,50.0,6,4,67.0,4,4,100.0,0,0,0,0,1,0,0,9,7,77,3,3,100.0,2,2,100.0,4,2,50.0,6,4,67.0,2,2,100.0,1,1,100.0
Open Weight Bout,False,False, 1, Decision - Unanimous,, Paul Varelans, Joe Moreira, Joe Moreira, Paul Varelans,0,0,3,0,0,0,0,28,12,42,14,5,36.0,2,2,100.0,12,5,42.0,17,9,53.0,11,3,28.0,0,0,0,0,0,0,0,0,0,0,38,9,23,32,5,16.0,1,0,0.0,5,4,80.0,28,6,22.0,10,3,30.0,0,0,0
Open Weight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Don Frye, Thomas Ramirez, Thomas Ramirez, Don Frye,0,0,0,0,0,0,0,2,1,50,2,1,50.0,0,0,0,0,0,0,2,1,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,75,4,3,75.0,0,0,0,0,0,0,3,2,67.0,0,0,0,1,1,100.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head On Ground Submission to Strikes, Sam Adkins, Keith Mielke, Keith Mielke, Sam Adkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Ultimate '95 Tournament Title Bout,False,False, 2, Decision - Unanimous,, Dan Severn, Oleg Taktarov, Oleg Taktarov, Dan Severn,0,0,1,0,1,0,0,29,8,27,23,4,18.0,3,1,34.0,3,3,100.0,29,8,28.0,0,0,0,0,0,0,0,0,0,0,0,5,0,79,24,30,73,18,25.0,5,5,100.0,1,1,100.0,60,7,12.0,0,0,0,19,17,90.0
Open Weight Bout,False,False, 1, Decision - Unanimous,, Oleg Taktarov, Marco Ruas, Marco Ruas, Oleg Taktarov,0,0,0,0,0,0,0,53,14,26,31,3,10.0,0,0,0,22,11,50.0,52,14,27.0,0,0,0,1,0,0.0,0,0,3,0,1,0,0,33,6,18,19,2,11.0,1,0,0.0,13,4,31.0,33,6,19.0,0,0,0,0,0,0
Open Weight Bout,False,False, 1, Decision - Unanimous,, Dan Severn, David Abbott, David Abbott, Dan Severn,0,0,0,0,0,0,0,6,3,50,6,3,50.0,0,0,0,0,0,0,2,0,0.0,3,2,67.0,1,1,100.0,0,1,2,50,0,0,0,65,57,87,43,36,84.0,17,16,95.0,5,5,100.0,0,0,0,5,5,100.0,60,52,87.0
Open Weight Bout,False,False, 1, Submission,, Oleg Taktarov, Dave Beneteau, Dave Beneteau, Oleg Taktarov,0,0,0,0,0,0,0,5,2,40,4,1,25.0,0,0,0,1,1,100.0,2,0,0.0,1,1,100.0,2,1,50.0,0,0,0,0,2,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Open Weight Bout,False,False, 1, Submission, Rear Naked Choke, Marco Ruas, Keith Hackney, Keith Hackney, Marco Ruas,0,0,0,0,0,0,0,4,1,25,2,0,0.0,0,0,0,2,1,50.0,4,1,25.0,0,0,0,0,0,0,0,1,2,50,1,1,0,10,7,70,8,5,63.0,0,0,0,2,2,100.0,3,2,67.0,0,0,0,7,5,72.0
Open Weight Bout,False,False, 1, Submission, Arm Triangle From Side Control, Dan Severn, Paul Varelans, Paul Varelans, Dan Severn,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,1,1,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Weight Bout,False,False, 1, Submission, Neck Crank From Guard, David Abbott, Steve Jennum, Steve Jennum, David Abbott,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,1,100,1,1,0,1,1,100,1,1,100.0,0,0,0,0,0,0,1,1,100.0,0,0,0,0,0,0
Open Weight Bout,False,False, 1, Submission,, Mark Hall, Trent Jenkins, Trent Jenkins, Mark Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Weight Bout,False,False, 1, Submission, Armbar, Joe Charles, Scott Bessac, Scott Bessac, Joe Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 7 Tournament Title Bout,False,False, 1, KO/TKO, Kicks to Leg At Distance, Marco Ruas, Paul Varelans, Paul Varelans, Marco Ruas,0,0,0,0,1,0,0,30,10,33,19,3,16.0,2,2,100.0,9,5,56.0,27,7,26.0,3,3,100.0,0,0,0,1,0,0,0,0,1,0,59,33,55,25,9,36.0,0,0,0,34,24,71.0,49,27,56.0,3,2,67.0,7,4,58.0
UFC Superfight Championship Bout,True,False, 2, Other, Time Expired, Ken Shamrock, Oleg Taktarov,,,0,1,1,100,1,1,0,58,29,50,53,26,50.0,4,2,50.0,1,1,100.0,29,8,28.0,6,4,67.0,23,17,74.0,0,0,2,0,0,0,0,22,4,18,17,3,18.0,1,0,0.0,4,1,25.0,18,3,17.0,4,1,25.0,0,0,0
UFC Superfight Championship Bout,True,False, 2, Other, Time Expired, Ken Shamrock, Oleg Taktarov,,,0,1,1,100,1,1,0,58,29,50,53,26,50.0,4,2,50.0,1,1,100.0,29,8,28.0,6,4,67.0,23,17,74.0,0,0,2,0,0,0,0,22,4,18,17,3,18.0,1,0,0.0,4,1,25.0,18,3,17.0,4,1,25.0,0,0,0
Open Weight Bout,False,False, 1, Submission,, Marco Ruas, Remco Pardoel, Remco Pardoel, Marco Ruas,0,1,1,100,2,0,0,4,2,50,1,0,0.0,0,0,0,3,2,67.0,2,0,0.0,2,2,100.0,0,0,0,0,0,0,0,2,2,1,7,4,57,2,1,50.0,2,2,100.0,3,1,34.0,3,1,34.0,0,0,0,4,3,75.0
Open Weight Bout,False,False, 1, Submission, Keylock From Mount, Paul Varelans, Mark Hall, Mark Hall, Paul Varelans,0,0,0,0,0,0,0,3,2,66,1,1,100.0,1,0,0.0,1,1,100.0,2,2,100.0,1,0,0.0,0,0,0,0,1,1,100,2,2,0,3,2,66,3,2,67.0,0,0,0,0,0,0,1,0,0.0,0,0,0,2,2,100.0
Open Weight Bout,False,False, 1, Submission, Heel Hook From Bottom Guard, Marco Ruas, Larry Cureton, Larry Cureton, Marco Ruas,0,0,0,0,1,0,1,7,6,85,3,2,67.0,4,4,100.0,0,0,0,0,0,0,0,0,0,7,6,86.0,0,1,1,100,3,1,0,1,1,100,1,1,100.0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0
Open Weight Bout,False,False, 1, Submission, Gi Choke From Mount, Remco Pardoel, Ryan Parker, Ryan Parker, Remco Pardoel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Guard Submission to Strikes, Mark Hall, Harold Howard, Harold Howard, Mark Hall,0,1,2,50,0,0,0,5,4,80,1,1,100.0,4,3,75.0,0,0,0,2,2,100.0,3,2,67.0,0,0,0,0,0,0,0,0,0,1,4,1,25,4,1,25.0,0,0,0,0,0,0,1,0,0.0,0,0,0,3,1,34.0
Open Weight Bout,False,False, 1, KO/TKO, Elbows to Head On Ground Submission to Strikes, Paul Varelans, Gerry Harris, Gerry Harris, Paul Varelans,0,0,0,0,0,0,0,2,0,0,1,0,0.0,0,0,0,1,0,0.0,1,0,0.0,1,0,0.0,0,0,0,0,1,1,100,0,3,0,4,4,100,4,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,100.0
Open Weight Bout,False,False, 1, Submission, Guillotine Choke Standing, Scott Bessac, David Hood, David Hood, Scott Bessac,0,0,0,0,0,0,0,3,2,66,0,0,0,0,0,0,3,2,67.0,2,1,50.0,1,1,100.0,0,0,0,0,0,0,0,2,0,0,5,1,20,4,0,0.0,1,1,100.0,0,0,0,4,0,0.0,1,1,100.0,0,0,0
